,file,number,date_time,weight,Sex_Limit_Category,species,farm,house,gender,pen
228,JC06F13,56,2022-10-07 13:36:44,0.956,not used,J,C,06,F,13
229,JC06F13,57,2022-10-07 13:36:50,0.877,not used,J,C,06,F,13
230,JC06F13,58,2022-10-07 13:36:56,1.006,not used,J,C,06,F,13
231,JC06F13,59,2022-10-07 13:37:03,1.021,not used,J,C,06,F,13
232,JC06F13,60,2022-10-07 13:37:09,0.894,not used,J,C,06,F,13
233,JC06F13,61,2022-10-07 13:37:15,0.943,not used,J,C,06,F,13
234,JC06F13,62,2022-10-07 13:37:21,0.991,not used,J,C,06,F,13
235,JC06F13,63,2022-10-07 13:37:29,0.807,not used,J,C,06,F,13
244,JC06F14,1,2022-10-07 13:39:34,0.892,not used,J,C,06,F,14
245,JC06F14,2,2022-10-07 13:39:46,0.944,not used,J,C,06,F,14
246,JC06F14,3,2022-10-07 13:39:57,0.969,not used,J,C,06,F,14
247,JC06F14,4,2022-10-07 13:40:02,0.880,not used,J,C,06,F,14
248,JC06F14,5,2022-10-07 13:40:09,0.932,not used,J,C,06,F,14
249,JC06F14,6,2022-10-07 13:40:15,0.809,not used,J,C,06,F,14
250,JC06F14,7,2022-10-07 13:40:21,0.860,not used,J,C,06,F,14
251,JC06F14,8,2022-10-07 13:40:28,1.025,not used,J,C,06,F,14
252,JC06F14,9,2022-10-07 13:40:34,0.928,not used,J,C,06,F,14
253,JC06F14,10,2022-10-07 13:40:45,0.996,not used,J,C,06,F,14
254,JC06F14,11,2022-10-07 13:40:53,0.963,not used,J,C,06,F,14
255,JC06F14,12,2022-10-07 13:40:59,1.045,not used,J,C,06,F,14
256,JC06F14,13,2022-10-07 13:41:06,0.883,not used,J,C,06,F,14
257,JC06F14,14,2022-10-07 13:41:13,0.852,not used,J,C,06,F,14
258,JC06F14,15,2022-10-07 13:41:19,0.949,not used,J,C,06,F,14
259,JC06F14,16,2022-10-07 13:41:28,1.087,not used,J,C,06,F,14
260,JC06F14,17,2022-10-07 13:41:34,1.051,not used,J,C,06,F,14
261,JC06F14,18,2022-10-07 13:41:41,1.035,not used,J,C,06,F,14
262,JC06F14,19,2022-10-07 13:41:49,0.970,not used,J,C,06,F,14
263,JC06F14,20,2022-10-07 13:41:54,0.837,not used,J,C,06,F,14
264,JC06F14,21,2022-10-07 13:42:01,0.776,not used,J,C,06,F,14
265,JC06F14,22,2022-10-07 13:42:09,0.949,not used,J,C,06,F,14
266,JC06F14,23,2022-10-07 13:42:17,0.891,not used,J,C,06,F,14
267,JC06F14,24,2022-10-07 13:42:24,0.947,not used,J,C,06,F,14
268,JC06F14,25,2022-10-07 13:42:31,0.962,not used,J,C,06,F,14
269,JC06F14,26,2022-10-07 13:42:38,1.021,not used,J,C,06,F,14
270,JC06F14,27,2022-10-07 13:42:45,0.824,not used,J,C,06,F,14
271,JC06F14,28,2022-10-07 13:42:52,0.822,not used,J,C,06,F,14
272,JC06F14,29,2022-10-07 13:43:00,0.950,not used,J,C,06,F,14
273,JC06F14,30,2022-10-07 13:43:07,1.036,not used,J,C,06,F,14
274,JC06F14,31,2022-10-07 13:43:14,0.926,not used,J,C,06,F,14
275,JC06F14,32,2022-10-07 13:43:21,0.939,not used,J,C,06,F,14
276,JC06F14,33,2022-10-07 13:43:31,1.021,not used,J,C,06,F,14
277,JC06F14,34,2022-10-07 13:43:46,0.910,not used,J,C,06,F,14
278,JC06F14,35,2022-10-07 13:43:54,0.938,not used,J,C,06,F,14
279,JC06F14,36,2022-10-07 13:44:01,0.874,not used,J,C,06,F,14
280,JC06F14,37,2022-10-07 13:44:10,1.053,not used,J,C,06,F,14
281,JC06F14,38,2022-10-07 13:44:17,1.045,not used,J,C,06,F,14
282,JC06F14,39,2022-10-07 13:44:24,0.948,not used,J,C,06,F,14
283,JC06F14,40,2022-10-07 13:44:32,0.800,not used,J,C,06,F,14
284,JC06F14,41,2022-10-07 13:44:40,0.845,not used,J,C,06,F,14
285,JC06F14,42,2022-10-07 13:44:46,0.847,not used,J,C,06,F,14
286,JC06F14,43,2022-10-07 13:44:53,0.949,not used,J,C,06,F,14
287,JC06F14,44,2022-10-07 13:45:01,0.960,not used,J,C,06,F,14
288,JC06F14,45,2022-10-07 13:45:07,0.979,not used,J,C,06,F,14
